name,city,state,lat,lng,price
STRIPES 7FLEET #42515,Lamesa,TX,32.7367,-101.9569,3.099
CEFCO #1086,Longview,TX,32.509956,-94.764822,2.959
MFA #910731,Shelbina,MO,39.6947,-92.0371,2.999
STRIPES,Refugio,TX,28.3169,-97.2767,3.074
STRIPES 7FLEET #42469,Santo,TX,32.5979,-98.1797,2.91733333
TEX-BEST #531,Uvalde,TX,29.22045,-99.78625,2.874
Sunoco,Roebling,NJ,40.1154,-74.7772,3.159
JUMPIN JACKS 419,Rockport,IN,37.8858,-87.077,3.999
CASEYS #3439,Lime Springs,IA,43.4556,-92.2733,3.56566666
Marathon,Cuthbert,GA,31.7706,-84.7936,3.699
SPEEDWAY #6278,Coopersville,MI,43.0601,-85.9517,3.499
FOOD N FUN #17,New Iberia,LA,30.009667,-91.7961,3.067
KWIK TRIP #462,Burlington,WI,42.666,-88.2749,3.274
B LINE SHELL,Jupiter,FL,26.93882,-80.12274,3.95733333
FAST TRACK 427,Lamont,FL,30.3772,-83.8129,3.739
MAVERIK COUNTRY STORE #651,Pocatello,ID,42.831133,-112.419833,3.40233333
DUBOIS TRAVEL STOP,Dubois,ID,44.1858,-112.3259,4.299
WARRIOR RIDGE,Ashland,PA,40.7732,-76.343,3.699
BP,Palmetto,GA,33.5242,-84.679,3.249
CHEVRON,Gordon,GA,32.8813,-83.3029,3.359
SPEED GAS,Rosenhayn,NJ,39.4782,-75.1313,3.459
MINIT MART #600632,Pekin,IL,40.5652,-89.6384,3.739
MACH ONE FOOD SHOP #17,Flora,IL,38.6703,-88.4919,3.899
DUCK THRU #3,Ahoskie,NC,36.2957,-76.9966,3.56233333
GOOD 2 GO #212,Lovell,WY,44.8336,-108.4141,3.657
HUCKS FOOD & FUEL #368,Madisonville,KY,37.3256,-87.4953,3.399
MONICARLO FUEL STOP,Garyville,LA,30.0535,-90.6201,3.199
CHEVRON,Galliano,LA,29.4311,-90.2981,3.499
CHEVRON #308195,Granger,WA,46.348,-120.1818,4.329
SHELL,Orange,MA,42.6129,-72.2924,3.649
FLASH MARKET SHELL,Koshkonong,MO,36.6056,-91.6304,3.499
CEFCO #104,Mount Enterprise,TX,31.9125,-94.6235,2.959
NEW DIXIE MART #19,Whitakers,NC,36.0758,-77.7167,3.339
SAMS MART #95,Harrisburg,NC,35.3247,-80.6594,3.799
SHEETZ #236,Marietta,PA,40.0664,-76.5645,3.389
MINER TOWNE MART,Shullsburg,WI,42.5786,-90.2266,3.399
CIRCLE K #2723367,Fancy Gap,VA,36.664,-80.6907,3.29066666
FLYING J TRAVEL PLAZA #304,New Haven,IN,41.0699,-85.0117,3.859
PILOT #586,Moss Point,MS,30.48605,-88.508,3.459
Kwik Trip #1260,Roberts,WI,44.9874,-92.5598,3.424
TA Express Williston,Williston,ND,48.180433,-103.6279,3.44733333
BIG D 14,Piedmont,SD,44.2287,-103.3688,3.13733333
CASEYS #2969,Fairmont,NE,40.6404,-97.5873,3.28233333
24 NORTH MOBIL,Bridgewater,MA,41.9823,-70.97255,3.699
TEXACO,Elgin,TX,30.3231,-97.3737,3.099
Rebecca Plantation Truck Plaza,Schriever,LA,29.7123,-90.8513,2.999
CHEVRON,Roanoke,LA,30.2464,-92.7421,3.609
MARATHON,Mansfield,OH,40.760929,-82.516871,3.499
BYRNE DAIRY #43,Pulaski,NY,43.5562,-76.1252,4.099
DANDY MINI MART #57,Horseheads,NY,42.1805,-76.8345,3.899
SUPER STOPS,Belle Rose,LA,30.026,-91.0444,3.499
STRIPES #40800,Beeville,TX,28.40765,-97.7688,3.01566666
ORGANIC CONNECTION MOBIL,Homestead,FL,25.487844,-80.468789,3.344
SPEEDWAY #1421,Frankfort,IL,41.5094,-87.8248,3.299
MAVERIK COUNTRY STORE #429,Roosevelt,UT,40.3102,-110.0108,3.439
CASEYS #2316,Unionville,MO,40.4815,-92.9951,3.214
ALLSUPS CONVENIENCE STORE #2223,Artesia,NM,32.796,-104.36775,3.399
LOVES TRAVEL STOP #350,Nogales,AZ,31.480333,-110.9207,3.609
SHELL FOOD MART # 25,Morton,MS,32.4029,-89.5949,3.199
7-ELEVEN #40574,Blanco,TX,30.0874,-98.4107,3.399
SHELL,Madisonville,TX,30.9533,-95.9091,3.18233333
